,index,shannon,vowels,numbers,dots,length,symbols,f_slash,d_d,d_a,d_s,a_d,a_a,a_s,s_d,s_a,s_s,class
8004,8572,3.0,6,0,1,19,2,2,0.0,0.0,0.0,0.0,12.0,3.0,0.0,3.0,0.0,0
8005,16854,4.0,10,0,4,41,3,3,0.0,0.0,0.0,0.0,25.0,7.0,0.0,7.0,1.0,1
8006,9484,4.0,22,3,1,84,4,6,2.0,0.0,1.0,0.0,52.0,13.0,1.0,12.0,2.0,0
8007,1912,4.0,30,6,1,97,4,4,5.0,0.0,0.0,0.0,59.0,14.0,1.0,13.0,4.0,0
8008,17106,4.0,8,12,4,46,4,4,7.0,0.0,4.0,1.0,19.0,4.0,4.0,4.0,2.0,1
8009,599,4.0,22,0,2,63,3,4,0.0,0.0,0.0,0.0,46.0,8.0,0.0,8.0,0.0,0
8010,3892,4.0,17,5,1,63,4,2,4.0,0.0,0.0,0.0,40.0,9.0,1.0,8.0,0.0,0
8011,12333,4.0,21,4,4,80,7,3,1.0,1.0,1.0,1.0,48.0,12.0,2.0,11.0,2.0,1
8012,5540,4.0,9,2,2,43,3,1,0.0,1.0,1.0,2.0,27.0,5.0,0.0,6.0,0.0,0
8013,1652,4.0,16,15,1,72,3,2,13.0,0.0,1.0,0.0,37.0,9.0,2.0,8.0,1.0,0
8014,18660,4.0,26,5,4,99,7,3,3.0,0.0,1.0,0.0,59.0,16.0,2.0,15.0,2.0,1
8015,8106,3.0,5,15,3,47,2,5,11.0,0.0,4.0,0.0,19.0,4.0,4.0,4.0,0.0,0
8016,14189,4.0,5,3,4,55,4,6,1.0,0.0,2.0,2.0,29.0,6.0,0.0,8.0,6.0,1
8017,1893,4.0,15,1,2,45,3,3,0.0,0.0,1.0,0.0,32.0,5.0,1.0,5.0,0.0,0
8018,7833,3.0,7,0,2,23,2,1,0.0,0.0,0.0,0.0,16.0,3.0,0.0,3.0,0.0,0
8019,19404,4.0,2,12,3,30,3,4,7.0,1.0,4.0,1.0,6.0,2.0,4.0,2.0,2.0,1
8020,11587,3.0,8,0,5,51,3,6,0.0,0.0,0.0,0.0,29.0,10.0,0.0,9.0,2.0,1
